"","county","FIPS","state","bachelor_degree","per_capita_income"
"2194","Pitt, NC",37147,"NC",32.09,53200
"2195","Pittsburg, OK",40121,"OK",18.31,42102
"2196","Piute, UT",49031,"UT",21.61,49233
"2197","Placer, CA",6061,"CA",40.77,76849
"2198","Platte, MO",29165,"MO",43,63771
"2199","Platte, NE",31141,"NE",23.38,56149
"2200","Platte, WY",56031,"WY",19.34,53368
"2201","Pleasants, WV",54073,"WV",10.66,49077
"2202","Plumas, CA",6063,"CA",24.52,57193
"2203","Plymouth, IA",19149,"IA",22.27,63214
"2204","Plymouth, MA",25023,"MA",38.12,79817
"2205","Pocahontas, IA",19151,"IA",15.95,57640
"2206","Pocahontas, WV",54075,"WV",13.61,50236
"2207","Poinsett, AR",5111,"AR",11.53,41551
"2208","Polk, AR",5113,"AR",15.3,38178
"2209","Polk, FL",12105,"FL",20.59,43556
"2210","Polk, GA",13233,"GA",12.74,39578
"2211","Polk, IA",19153,"IA",37.57,60799
"2212","Polk, MN",27119,"MN",27.27,58682
"2213","Polk, MO",29167,"MO",20.57,41119
"2214","Polk, NC",37149,"NC",32.69,59482
"2215","Polk, NE",31143,"NE",19.23,65364
"2216","Polk, OR",41053,"OR",30.51,49781
"2217","Polk, TN",47139,"TN",12.63,39180
"2218","Polk, TX",48373,"TX",14.31,47994
"2219","Polk, WI",55095,"WI",22.61,52885
"2220","Pondera, MT",30073,"MT",24.23,52704
"2221","Pontotoc, MS",28115,"MS",18.23,41866
"2222","Pontotoc, OK",40123,"OK",28.82,51619
"2223","Pope, AR",5115,"AR",24.59,40937
"2224","Pope, IL",17151,"IL",16.54,39435
"2225","Pope, MN",27121,"MN",22.33,60173
"2226","Portage, OH",39133,"OH",29.87,51995
"2227","Portage, WI",55097,"WI",33.43,53435
"2228","Porter, IN",18127,"IN",28.64,61250
"2229","Posey, IN",18129,"IN",23.01,59105
"2230","Pottawatomie, KS",20149,"KS",34.44,59324
"2231","Pottawatomie, OK",40125,"OK",19.4,46730
"2232","Pottawattamie, IA",19155,"IA",21.9,51370
"2233","Potter, PA",42105,"PA",15.27,51432
"2234","Potter, SD",46107,"SD",23.47,87031
"2235","Potter, TX",48375,"TX",15.38,55764
"2236","Powder River, MT",30075,"MT",23.68,39838
"2237","Powell, KY",21197,"KY",17.59,37993
"2238","Powell, MT",30077,"MT",17.69,50932
"2239","Power, ID",16077,"ID",15.7,43031
"2240","Poweshiek, IA",19157,"IA",28.06,53996
"2241","Powhatan, VA",51145,"VA",30.58,67031
"2242","Prairie, AR",5117,"AR",15.25,43835
"2243","Prairie, MT",30079,"MT",27.6,49204
"2244","Pratt, KS",20151,"KS",29.49,58092
"2245","Preble, OH",39135,"OH",18.24,48600
"2246","Prentiss, MS",28117,"MS",14.03,37701
"2247","Presidio, TX",48377,"TX",19.48,61776
"2248","Presque Isle, MI",26141,"MI",18.79,47138
"2249","Preston, WV",54077,"WV",16.22,42091
"2250","Price, WI",55099,"WI",16.86,51148
"2251","Prince Edward, VA",51147,"VA",25.45,38883
"2252","Prince George's, MD",24033,"MD",34.39,54916
"2253","Prince of Wales-Hyder Census Area, AK",2198,"AK",17.21,53266
"2254","Providence, RI",44007,"RI",30.32,56429
"2255","Prowers, CO",8099,"CO",18.63,46073
"2256","Pueblo, CO",8101,"CO",22.91,46927
"2257","Pulaski, AR",5119,"AR",35.18,58583
"2258","Pulaski, GA",13235,"GA",13.1,40100
"2259","Pulaski, IL",17153,"IL",11.72,48561
"2260","Pulaski, IN",18131,"IN",12.88,54133
"2261","Pulaski, KY",21199,"KY",16.81,46607
"2262","Pulaski, MO",29169,"MO",27.75,44759
"2263","Pulaski, VA",51155,"VA",19.72,47174
"2264","Pushmataha, OK",40127,"OK",14.66,39442
"2265","Putnam, FL",12107,"FL",13.55,40376
"2266","Putnam, GA",13237,"GA",23.49,53019
"2267","Putnam, IL",17155,"IL",19.19,74073
"2268","Putnam, IN",18133,"IN",16.88,45681
"2269","Putnam, MO",29171,"MO",20.4,41629
"2270","Putnam, NY",36079,"NY",40.89,78754
"2271","Putnam, OH",39137,"OH",23.22,57868
"2272","Putnam, TN",47141,"TN",26.42,47536
"2273","Putnam, WV",54079,"WV",26.31,53536
"2274","Quay, NM",35037,"NM",15.39,44798
"2275","Queen Anne's, MD",24035,"MD",36.49,75811
"2276","Queens, NY",36081,"NY",33.47,58646
"2277","Quitman, GA",13239,"GA",11.46,38398
"2278","Quitman, MS",28119,"MS",11.15,41682
"2279","Rabun, GA",13241,"GA",28.39,50488
"2280","Racine, WI",55101,"WI",25.78,56884
"2281","Rains, TX",48379,"TX",15.3,41563
"2282","Raleigh, WV",54081,"WV",19.87,47265
"2283","Ralls, MO",29173,"MO",15.37,47714
"2284","Ramsey, MN",27123,"MN",43,62594
"2285","Ramsey, ND",38071,"ND",26.32,59490
"2286","Randall, TX",48381,"TX",30.93,56381
"2287","Randolph, AL",1111,"AL",17.1,41750
"2288","Randolph, AR",5121,"AR",13.79,39491
"2289","Randolph, GA",13243,"GA",12.28,43049
"2290","Randolph, IL",17157,"IL",12.93,46251
"2291","Randolph, IN",18135,"IN",16.38,49116
"2292","Randolph, MO",29175,"MO",17.94,46164
"2293","Randolph, NC",37151,"NC",16.12,45777
"2294","Randolph, WV",54083,"WV",15.73,45453
"2295","Rankin, MS",28121,"MS",30.25,51235
"2296","Ransom, ND",38073,"ND",20.51,64827
"2297","Rappahannock, VA",51157,"VA",34.11,76181
"2298","Ravalli, MT",30081,"MT",28.39,56321
"2299","Rawlins, KS",20153,"KS",21.66,80389
"2300","Ray, MO",29177,"MO",14.15,48843
"2301","Reagan, TX",48383,"TX",11.66,61077
"2302","Real, TX",48385,"TX",16.78,55449
"2303","Red Lake, MN",27125,"MN",17.03,65147
"2304","Red River, TX",48387,"TX",15.67,53818
"2305","Red Willow, NE",31145,"NE",23.21,53974
"2306","Redwood, MN",27127,"MN",19.15,63700
"2307","Reeves, TX",48389,"TX",10.55,52811
